"Date","Price","Open","High","Low","Vol.","Change %"
"05/19/2025","166.54","164.51","166.64","164.22","30.43M","0.21%"
"05/16/2025","166.19","167.73","169.35","165.62","42.85M","1.36%"
"05/15/2025","163.96","165.84","166.21","162.37","33.15M","-0.85%"
"05/14/2025","165.37","159.96","167.00","159.61","48.76M","3.66%"
"05/13/2025","159.53","158.79","160.57","156.16","42.38M","0.68%"
"05/12/2025","158.46","157.49","159.10","156.25","44.14M","3.74%"
"05/09/2025","152.75","154.17","155.05","152.20","32.44M","-0.99%"
"05/08/2025","154.28","155.00","155.93","152.90","57.50M","1.92%"
"05/07/2025","151.38","164.08","165.00","147.84","127.75M","-7.26%"
"05/06/2025","163.23","162.17","164.80","161.19","21.28M","-0.60%"
"05/05/2025","164.21","163.00","165.39","162.72","21.34M","0.11%"
"05/02/2025","164.03","163.40","164.97","161.87","25.72M","1.69%"
"05/01/2025","161.30","160.45","161.95","158.91","30.20M","1.57%"
"04/30/2025","158.80","157.98","159.27","155.40","34.98M","-0.85%"
"04/29/2025","160.16","160.32","160.74","157.52","26.81M","-0.28%"
"04/28/2025","160.61","162.43","163.15","158.60","29.75M","-0.83%"
"04/25/2025","161.96","165.07","166.10","161.04","56.03M","1.68%"
"04/24/2025","159.28","156.15","159.59","155.79","45.89M","2.53%"
"04/23/2025","155.35","155.61","157.52","153.81","31.13M","2.56%"
"04/22/2025","151.47","148.89","152.19","148.54","26.97M","2.57%"
"04/21/2025","147.67","148.88","148.95","146.10","26.05M","-2.31%"
"04/17/2025","151.16","154.29","154.68","148.50","33.05M","-1.42%"
"04/16/2025","153.33","153.10","155.89","151.51","28.19M","-1.91%"
"04/15/2025","156.31","159.13","159.65","155.21","27.55M","-1.74%"
"04/14/2025","159.07","159.99","161.72","157.56","30.33M","1.23%"
"04/11/2025","157.14","152.90","157.67","152.82","33.64M","2.83%"
"04/10/2025","152.82","156.54","157.72","149.93","48.02M","-3.71%"
"04/09/2025","158.71","144.41","159.55","143.90","70.41M","9.68%"
"04/08/2025","144.70","151.22","152.24","143.03","52.20M","-1.40%"
